Title,cast (ReviewText as Text),Storage,Colour,VF,Rating
I miss my OnePlus 6,"
  Android v/s iOSPro Apple1. Tons of privacy features and solid implementation. Every new app installed needs permission to send notifications.And with a future update, facebook won't be able to track what you're doing in other apps outside of Facebook. This deserves an applaud. 2. BatteryThe battery is amazing, giving more than 6 hours of screen on time. OnePlus can't touch this. If you bring this up with them, they'll distract you by saying it has fast charging.3. Camera - photos are ok and decent BUT, DAMN, the video quality is amazing. Totally stabilized ready for uploads.4. Build Quality - SOLID.5. Continued updates for years and years. An android may last you 2-4 years, and the updated would be ""raam bharose"", but these new iphones especially will easily last 5 years minimum with no compromises on software and security upgrades.6. Less features, but they work 10/10. Example, auto fill OTP option in keyboard works every single timein iPhone. In Android, if your keyboard is open already before the otp arrives, then this feature won't work. Half baked implementation.Pro Android / Anti - iOS1. Notifications. Notifications centre on iPhone SUCKS. I have missed email notifications regularly. Android does this so well.2. Implementation of new app library feature sucks. This creates a very confusing situation. The way to solve this would be if the auto-folders in app library could be manually managed.3. Screen Sizes and Notch - The Notch is a disgrace for iphones when the iphones have reached the level of punch hole displays. Hoping the next year's model can make it better.4. No Truecaller in iPhone and no call recording. I can forgive the call recording considering the privacy first model, but truecaller is a pro to privacy.5. CHEAP QUALITY OF CHARGING CABLE. For a luxury brand, this is a disgrace.6. PRICE - Yes, iphones are expensive BUT, paying +10-15k for a phone available cheaper in Dubai / USA really pinches. Damn Taxes.7. Yes iPhones run smoothly but don't think that these don't stutter. I face very light stutters now and then and I restart at least once a week whenever I encounter it.I'll probably give this phone to my family member against their iPhone x since they're way too deep in ios ecosystem now.
",128GB,Blue,1,5
A good uograde,"
  Overall it looks good, coming from XR it looks a good upgrade for me. Design is ‘back to basics’ which is compelling. I loved the fast response among other things.
",64GB,Blue,1,5
Impressive product by a money hungry company (lol),"
  Likes:ios- efficient and tidy.5G; Jio gives 4G+ currently to 5G mobiles as of 27-Dec-2020.The chassis feels different than rest phones in a good way.OLED display feels good to view.Usual iPhone perks- longer software support.Dislikes:Overpriced as usual, more so this time since not bundled with earphones and charger.Apple charger doesn't come with a lightning cable. Please buy cable separately, if needed.The selfie camera dulls the skin tone. Selfies taken via Androids look better.Here's my 2 cents:I'm using it as a secondary phone with OnePlus 8 as my primary.Please use your discretion.Thanks.
",128GB,Black,1,3
iPhone 12 screen is a major bummer!!,"
  It’s such a disappointment. I have been using iPhone since it’s first version.So naturally upgraded from iPhone X to 12. But the excitement quickly died down as soon as I saw the screen. There is a warm greenish tint to it which makes the colors off.Selfie portraits aren’t good either. Too sharp for portraits. May be I should have gone for the 12 Pro Max as it handles much better because of the telephoto lens.Hope apple fixes the screen issues soon
",256GB,White,1,5
Excellent with drawback for power adapter!!,"
  All things are at its place.. giving it 4 star just because of not giving power adapter with the cell phone. with this huge amount of price we actually deserve a power adapter.
",128GB,Blue,1,5
Great software seamlessly working with awesome hardware.,"
  The hardware- cameras, spatial audio system, built and chip- are really really good. Better than any other high end phone in the market.The iOS software is really awesome! With features like shortcuts, siri among others- this phone is the smartest smart phone in the market. It just does things for you in the background to give you the unique user experience that android has not been able to give so far. I switched from an android phone (OnePlus) to this and it has been a very refreshing and wonderful change.
",64GB,Black,1,3
Huge leap for the standard iPhone,"
  Upgraded from an iPhone 7 32 gigs to iPhone 12 . After holding out for a long time the upgrade was worth it. All the feature set display, camera, speakers, signal reception, chipset is a huge upgrade. Recommended if you happen to have a device from 2016 or older. This device will be the new standard iPhone for the next 4 years. So worth it if you get it now.
",128GB,White,1,4
Excellent phone,"
  Excellent phone. I have been using iPhone since iPhone 4s was launchediPhone 12 is exceptionally good phone with a lovely screen. colours are vivid and elaborate.I am pretty heavy user of my phone on a daily basis and the battery really lasts for the whole day comfortably, actually I do not have to worry regarding my battery in spite of heavy usage.Camera is very good and takes perfect picture especially the portrait mode which is actually superb.Buttery smooth operating system and iOS 14.3 is superb. I actually do not feel the difference with 120 Hz refresh rate. The phone does not really lag at all, the dual SIM capability is also lovely and helpful.
",64GB,Black,1,5
Perfect and flawless phone,"
  What a masterpiece this phone is! Coming from a flagship Android phone, this looked like a big leap. It’s totally next level. What a display, what an operating system, what a processor, what a camera! This is not only a phone but master of all. Wow. It’s an engineering marvel from Apple Inc.
",128GB,White,1,3
Snappy performance and good battery backup,"
  Excellent performance, all apps open up almost instantly. Battery life is great. Gets around 4.5-5 hrs screen time with 47% remaining (last checked). Initially while restoring from iCloud it would consume a lot of battery. Give it a day or two. It would settle down.
",64GB,RED,1,5
Doubtful product,"
  What i am feeling is there is some difference buying products on amazon and stores directly. I have compared with my friends battery life has huge change she gets a day and mine ends within 7-8 hours
",64GB,White,1,5
Overall good phone with some minor setbacks.,"
  Overall good phone as it feels very premium, being made with high quality materials and has great performance. Excellent camera quality, great design and screen quality. The A14 processor is super fast and the phone never heats up even while performing intensive tasks. The speakers are very loud and clear and give out high quality sound.One problem I encountered is that  the battery life is not great but definitely above average. Another issue is the notch which makes the phone look outdated especially in 2021. The Face ID is also not useful while wearing masks which causes a lot of inconvenience since the phone doesn’t have a fingerprint scanner. The phone is also limited to a 60Hz refresh rate which again makes it less compelling than the competition which makes phones with 120Hz refresh rate at a much lower price.
",64GB,RED,1,5
Supreme I phone...!!!,"
  All I phone models are premium phones, coming to 12 price is to costly, but the quality is awesome.Camera, display,  processor and look of the body is premium.One think I don’t like is, phone is not coming with adapter and the headphonesOver rating for this iPhone 12 🌟🌟🌟🌟🌟
",64GB,Blue,1,4
VERY NICE PHONE,"
  Very good product. I was using 6S plus till now. After using for one and half month, it’s so impressive and battery is the best. It comes whole day. Very fast and smooth. Nice design.
",128GB,RED,1,5
Love at first sight!,"
  Just by looking at it you will love the phone. I got blue it looks ravishing. Since we most of us (if not all) will go for cover, would still suggest to go with white because with back covers white would look good. I too took quite some time to decide between blue and white. White's novelty is timeless.You can go for this one without any second thoughts IF YOU PLAN TO KEEP THIS FOR 3-4 YRS AT LEAST ELSE better go for iphone 11 as it would be more value for money.
",128GB,Blue,1,3
Timely and safe delivery by amazon and wonderful Apple product as usual,"
  I was aware about Apple product but was scared to order online, however i have a great experience with amazon to buy many expensive products therefore ordered and amazon kept my trust intact. Apple IPhone is awesome as usual good battery life, quick processor and nice performance.
",128GB,RED,1,5
Due to low battery always be in mind but if you leave that top notch smartphone A14 bionic chip🙌,"
  So till now what concerns me is only the battery and everything by far is top notch and I was a little hesitating before purchasing it since this was my first interaction with the iOS environment but now I am used to it and works fine. Since I am not a fan of too much customization so for me this UI is totally fine. Plus gaming experience was also good till now I played nfs no limit and it works like a champ. I also really like it's ram working since my app in background keeps running without always reloading it when again opened.One last since I haven't used 120 Hz refresh rate so I can’t tell about it but since my old phone was also no having it so for me it's awesome👌.Camera is also awesome till now I haven't used it much due to covid but in low light it worked too good no doubt about it:).Hope this will help someone😁
",128GB,White,1,5
Review,"
  Amazing product and very nice quality.I usually never order electronics online, i always buy it from a physical store. This time i checked everywhere for 256gb iphone 12 but it was out of stock and i had no option but to buy it online.I was a bit worried about the fraud and fake products but when i opened the package I realised that this cannot be fake.
",256GB,RED,1,5
"Best deal, Got it 128gb for 75900 😁😁","
  Well i dont have to say much because my phone is working perfect so i would just say go for it if you really think you can buy this phone. Dont worry its worth having it. Its been almost 1 month and i havent face any issue even battery backup is fine for me.
",128GB,White,1,4
Worth every penny 😍🤩,"
   I am so happy to have this device.. It feels too premium.. Blazing fast and ultra premium.. Loved it 😍😍😍😍🤩🤩🤩🤩
",128GB,Blue,1,5
Fantastic beast and Where to find it ! Amazon,"
  The Best iphone i have used ,Camera is a beast, speakers are superb, display is unbelievable, and battery has never been better!But the touch response has been poor i am unable to type like i used to do on my iphone 7 or 8.
",128GB,White,1,3
Not much of difference from predecessor.,"
  If you have iphone 11/XR not much of a change expect the change in look from outside . From inside its still functions the same.Battery like : Can be improved. Okayish currently.Value of money: Not really. 80k INR is a lot of money.
",64GB,Black,1,5
The phone to buy,"
  12 vanilla is the phone to buy for the average user. Its the sweet spot for 🍎 fans. If you really want the 3 cameras go for the pro max.
",128GB,Blue,1,4
Amazing All-rounder,"
  You can get good phones for cheaper. You can also get phones with certain features that you don’t get here. But if you are looking for the most well rounded phone that ticks all the right boxes with sheer simplicity, this is for you.
",128GB,White,1,3
This phone will definitely address your needs!,"
  I want to say that battery backup of iPhone has been considerably improved. Everything is the best. If you're a average user who only indulge in social life and little bit of photography no need to go for Pro/ Pro Max, iPhone 12 will do the justice.
",64GB,Blue,1,5
Awesome Phone,"
  This iPhone is amazingly good and camera is awesome. I will update about battery after few days of usage.
",64GB,RED,1,5
Iphone 12 Oled panel has yellow tint.,"
  I am surprise no body mentioned this on the review. I had iphone X previously and bought iphone 12 now. The major issue that i saw is the display of iphone 12 has weird yellow tint to it compare to older models. Just for the comparisons i have added the photo of my 3year Iphone X (left) and iphone 12(right). The white looks is much cooler in iphone X compare to iphone 12. Dont know if it is a hardware issue or software issue.
",128GB,Black,1,3
Power key not working after 20 day use,"
  My phone power key not working after 20 days use ..now m helpless where m going for bacause amazon gives 10 day replacement only and iphone store so far from I’m lived
",128GB,White,1,5
Great phone,"
  So far loving my new iPhone.The battery life is good. Just need to charge once a day. I used my camera for recording videos for 2-3 hours , still the battery survived through out the day.Camera is good.
",128GB,Blue,1,4
Feel too premium,"
   Changed from iPhone X, Got the new blue colour, something unique from apple. Great battery backup and the edges now look too premium. Overall, such a great buy 🤩
",64GB,Blue,1,3
Most awaited iPhone !!,"
  Firstly it’s thin, weight is reduced. Apple changed the display to Super Retina edge-to-edge OLED now. It features Ceramic Shield to protect from hardest falls and drops. You are definitely going to love the edges this time. A good option to upgrade from previous models.
",64GB,White,1,4
Love it,"
  I love my iPhone 12Battery superb it will last for whole dayScreen Oled rocksUpgrading from 7 n it’s worth waiting.It will be better If Mrp is little lower 😉 like 70,000
",128GB,Blue,1,5
Good buy !!,"
  Great device. Amazing Cameras. Battery is good for a day. I don’t play games so I’m not sure about it.
",128GB,White,1,3
I phone 12 product red 128 GB review,"
  Well I must say this product red color looks very trendy. I'm impressed with the battery life of the phone. As you know it doesn't come up with charger, you do need to buy separate one. Still I think its value for money
",128GB,RED,1,5
hehehehe,"
  got it on my birthday, Thanks Jejus :D
",128GB,Blue,1,5
Great phone,"
  Impeccable phone from apple, upgraded from iPhone 7. Battery could have been a little longer though
",128GB,White,1,5
Great Phone,"
  Upgraded to iPhone 12 and guess what? Not at all disappointed.. Apple has done a great job and iPhone 12 has everything you need.Go for it without a doubt..
",64GB,Blue,1,5
Light weight fast processor but charger adaptor not there,"
  wonderful 12 series light weight
",128GB,Green,1,5
Good product at reasonable prices,"
  Good product at reasonable prices low price than market
",64GB,White,1,3
Awesome device!!!!,"
  As usual a fabulous product of Apple and it just performs well and mind blowing. It is so smooth an best part is it is very light compare to previous models. Design wise awesome and it fits perfectly in hand. Camera is superb as always. Great and fast performance.  I am loving it. Go for it😄😄
",64GB,Blue,1,4
New iPhone 12,"
  The new Apple iPhone 12 is an amazing device. The device is beautiful and performance is great.
",64GB,White,1,5
The camera does not work,"
  My camera does not work
",128GB,Blue,1,5
iPhone 12,"
  Average battery life only for iPhone for 1 day or below .Value for money is too expensive only but the quality is good comparing with the price .
",256GB,White,1,5
Superb,"
  Superbbb phone.First time I am using I phone feeling better experience with I phone 12.if u will use i phone 12 then u never buy stupid oppo Vivo like android phone
",64GB,Green,1,5
"Ringtone sound decreases after 2,3 seconds. Is it normal?","
  Product is good. And in the phone when you get call the ringtone sound initially very high after 2,3 seconds the ringtone sound will decreases in my phone, is this normal in iPhone 12 or my phone is fault piece. Please anybody clarify my doubt. Thanks in advance
",128GB,Blue,1,3
"Not sure about the phone, I need to take it to Apple showroom and check","
  For some reason the phone is going blank suddenly, while using WhatsApp and other apps
",128GB,White,1,5
Great mobile to use!!!,"
  Everything is quite fine but only matters is battery backup is very low.Hardly for a normal user it lasts not more than18-20 hours
",128GB,Blue,1,5
Best Smartphone used till date,"
  Haven’t used a smartphone this good. Would say just perfect for my need. Sometimes I feel likes touch is like butter. Battery works for me 2 days with dual sim usage.
",128GB,White,1,2
Not the Apple I want to bite,"
  Apple is loosing its grip as a premium product. Now it slows down, hangs often, reboots and irritate. It’s slowly becoming just a symbol rather than an actual smart phone.
",64GB,RED,1,5
Faulty,"
  The product found faulty after one week The microphone of speaker was not working in the phone. It Was in warranty period so got replaced by new one.
",128GB,Blue,1,5
I as an iphone,"
  Its osum phone.!
",64GB,Blue,1,3
Good product,"
  Expensive
",128GB,Blue,1,1
Best iPhone till yet!!,"
  Practical Phone for practical life
",64GB,Black,1,5
Great,"
  Everything is good but battery life is poor.
",128GB,Black,1,5
Brand is always a brand,"
   Just killing awesome 👍
",64GB,White,1,5
Flawless,"
  Great.Simply great.
",128GB,White,1,5
It’s a great product for iOS lovers !!,"
  I Loved I Phone X, because of size &amp; design !!This one better in both aspects, it’s a very light phone !!
",64GB,Blue,1,3
Bad battry,"
  Battry is very poor i was using 11pro and now its look like I have  wasted my money on 12
",128GB,Blue,1,5
Beast of a device,"
  Smooth, clean , fast,simple and class.Except for the front camera which is a bit underwhelming to me considering the price point and brand value,this is a beast of a device.
",128GB,White,1,5
GOOD EXPERIENCE,"
  One day delivery, Original piece , Great offer and discount, Overall good experience.
",64GB,White,1,1
Scratch display,"
  Everything is ok except a small hair scratch on front display glass.
",64GB,Black,1,5
Return,"
  This product was hang plz replace the iPhone no work sim tray battery problem
",64GB,Blue,1,5
Awesome phone,"
  It's an amazing product
",256GB,RED,1,3
Great phone with great issues,"
  This phone is good. But it suddenly showing some issues like camera and gallery crash. If you change wallpaper too frequently and taje too much pic.
",64GB,Black,1,1
Best Best Best,"
   Thankyou Amazon❤️❤️❤️❤️❤️Such a beautiful phone it is.I'm in love with this blue colourLove you🥺
",64GB,Blue,1,5
Battery life is very very bad.,"
  Overall iPhone is very nice but battery life is very very bad and phone getting heat,also camera is problem when in night mode.
",128GB,RED,1,2
Camera pixel not as per expection,"
  Not to long battery backup only two three hours
",128GB,Black,1,5
Apple the Future technology,"
   This is first time I’m switching from android to iOSIt is just amazingBatter life is awesome
",128GB,White,1,5
Best iPhone ever...,"
  Iphone 12 is by far the best iPhone no wonder why its getting all the praises from everyone. Thanks amazon for smooth delivery.
",64GB,Blue,1,3
Good,"
  Price is bit high
",128GB,White,1,5
Good product,"
  Nice product
",64GB,White,1,5
Super performance  iPhone 12,"
  Super Duper iPhone 12 I Love it,It’s World Bigest Brand Smart Phone
",64GB,Green,1,5
Best of best,"
  It’s an awesome phone. Best in technology. After two months of used didn’t find any negative.
",128GB,Blue,1,5
Compact kid for Phonies,"
  A phone with good performance
",128GB,Green,1,5
Best camera in all phones,"
  Low light photography is killer in this phone
",128GB,RED,1,3
Extremely satisfied,"
  Best phone one can ever get.If you r old iphone user, this is one for you
",64GB,White,1,4
Awsome,"
  Loved the new Iphone.
",128GB,RED,1,5
Go for it guys!,"
  Lot of new features added in this new iPhone, night mode is improved, and a satisfactory battery back upWorth every penny!
",128GB,White,1,5
Speaker and phone heating issues I need replacement as soon as possible,"
  Phone was heating to much and speakers are also not working properly from last week plz I need replacement
",64GB,Black,1,5
All things are very good,"
  I feel veryyyyyyy gooooodddd because it's screen is very good and touch response is awesome I am promoting it buts very goooodddd
",128GB,Blue,1,5
Loving it!,"
  Simply Loving it!! Amazing phone. Battery could have been better but overall a great phone. Would definitely recommend
",128GB,Green,1,3
Nice perfect things,"
  Everything good
",128GB,RED,1,5
Blue looks and feels great,"
  Blew my mind after the switch from 6s to 12..Stunning look and feel
",128GB,Blue,1,5
Best smartphone of this era,"
  Best smartphone of this era
",64GB,Blue,1,5
🤘🤘🤘,"
  Awesome product super 🤗🤗🤗👌👌👌
",64GB,Blue,1,5
Its a very reliable device just go for it without second thought 😌,"
  Simply Amazing 😍
",128GB,White,1,5
I recommended anyone contemplating that it's totally safe to buy from this retailer.,"
  I'm in love with the colour
",128GB,RED,1,3
Nice product,"
  Super product
",64GB,Green,1,5
Thanks to amazon,"
  All good but bettory backup is too much short duration only 3-4 hour while capure pictures and videos
",128GB,White,1,5
Nice,"
  Nice one
",128GB,Black,1,5
Thanks,"
  Beautiful mobile
",64GB,Blue,1,5
Touch Screen,"
  Touch screen is not that much good by compare with previous versions..
",64GB,White,1,5
iPhone 12 rocks,"
  Iphone 12 is just awesome
",64GB,Blue,1,3
Emotion,"
  iPhone is a emotion .. no need to explain more
",128GB,Blue,1,3
Very good if only want iOS,"
  If you only want an iOS you go for it or else you can buy Asus rog 5
",128GB,White,1,5
My 1st iPhone,"
   My first iPhone.....that is 12...love it
",256GB,Blue,1,5
battery,"
  battery life is not gud
",128GB,RED,1,5
I have recieved bad quality,"
  Battery pock up is not goog actually the phone is not picking the battery
",128GB,White,1,5
The best in the market,"
  Super Camera with a good battery and great OS
",64GB,RED,1,3
Good phone,"
  Improved Camera and battery life compared to previous versions.
",128GB,Black,1,1
Nice phonr,"
  Great performance
",64GB,Blue,1,5
Over priced,"
  Phone is good but over priced
",64GB,RED,1,5
Amazing phone 😍😍😍,"
  Excellent camera and build quality. Decent battery life.
",128GB,Blue,1,5
Worst battery,"
  Worst battery performance.Iphone 11 is far better den this..In 4 hour battery will come down from 100 to 15 percent.Please dont buy this product at this price.
",64GB,RED,1,5
"Another Fabulous IPhone ( IPhone 12, Blue 64GB)","
   Another beauty from Apple. I was upgraded from iPhone X and it was great experience with all the latest specs and flawlessly smooth. Thanks to all new A14 Bionic chip.Build quality was great as always from Apple.Phone feels light on hands due to aluminium body. I chose Blue colour because wanted to go for different colour than routine Black and white iPhones so initially I was bit skeptical but after seeing the phone in person I’m happy with the blue colour  “ not bad at all and not too flashy”Grip and feel perfect. Phone comes with iOS 14.1. Camera quality was excellent and sufficient  as a normal user.If you are from iOS ecosystem nothing will go wrong here.There is nothing to question about the quality and interface from Apple ( it’s my personal opinion as a long time apple user)As you all know iPhone 12 won’t comes with earphones and charging brick( adapter)I bought separately 20w apple adapter from new Apple India online store for Rs.1900I don’t judge here apple because of accessories removal and the price tag. I hope apple can justify this.I only hope and wanted to see so badly Made in India IPhones so that we all can enjoy lower priced ( at least a better priced) iPhones in the future.A big thanks to Appario Retail Pvt. Ltd and Amazon for delivering genuine iPhone as always in perfect condition. Delivered way before the promised date.Update: (01/12/2020) After testing 25 days especially on battery life of this iPhone 12, results were amazing and I’m completely satisfied  with the battery performance. On Moderate gaming, Moderate Video Content, heavy on calls and heavy on browsing this iPhone 12 battery life is sufficient for your regular Day.My conclusion is definitely a better and improved battery performer than the previous iPhone model.Thank you Apple IndiaThank you Appario Retail Pvt. Ltd.Thank you Amazon India.( Note: charger brick was shown in my video was bought myself from Apple India online store because it won’t comes with the phone)
",64GB,Blue,1,3
The Beast,"
  This was my first switch to an ios device after using an android untill now. And I am not disappointed. The build quality, the responsive touch, the display, the camera, the battery life are just exceptional.Been using for about 10 days now, and consistently giving around 7h of screen on time.The camera is just way too good. Espeecially the night mode impressed me a lot.Only issue when switching from Android to iPhone I encountered was to be not able to restore my whatsapp chats. There are no official/free ways for doing this.The phone is simple amazing.
",128GB,White,1,3
Kidney as a load balancer,"
  Sold kidney bought this, now not feeling well but the number of days I am alive with one kidney will enjoy using this phone. Guys be careful if you rich it’s ok else sell something else but not kidney it hurts
",128GB,Black,1,5
NOW I ONLY HAVE ONE KIDNEY,"
  My girlfriend demanded me this iphone... And now she is uploading pics with new boyfriend 🥺with caption that ""he don't deserve me""I want to move on but it will be very difficult to survive with one kidney😔
",128GB,Black,1,5
99.99% Perfect Smartphone !!,"
  Nicely packed !! Kudos to seller !!I was very much confused between iphone 11 and this one as the price of iphone dropped ... But i am glad i chose this over iphone 11.1.Display:Main upgrade in iphone 12 is the oled display. Boy o boy the screen is amazing. I have user many android flagship's but this beats them all.2.Battery:Battery is amazing. I am getting 1.5 days of battery life with my usage.PS: i dont play games.3.IOS:This is my 1st iphone and the experience with ios is great ... Very smooth animations ..even though its not 90hz screen but everything is buttery smooth.4. Camera:The pics from this phone is superb. FLAGSHIP LEVEL CAMERA! You will not be dissapointed.5 Build &amp;Design :This phone looks and feels very premium compared to other phones.Very comfotable to use.6.Face Id:Face id works very fast and accurate in low lighting conditions.7.Updates:Ios14 is good and we can expect another 4yrs of software  updates thats huge !Cons:1.Priced very high but it may be because of high taxes and custom duty.2.No charger and earpods in the box.3.Notifications are a mess ...android is better in managing new notifications.Overall a great Phone IF You are OK with the Price !!!
",128GB,Green,1,4
